time_ns,voltage_mV
0.000000000000000000e+00,3.662221137119663350e-01
2.560000000000000000e+03,3.662221137119663350e-01
5.120000000000000000e+03,1.777397991882076478e-01
7.680000000000000000e+03,3.662221137119663350e-01
1.024000000000000000e+04,3.662221137119663350e-01
1.280000000000000000e+04,3.662221137119663350e-01
1.536000000000000000e+04,3.662221137119663350e-01
1.792000000000000000e+04,3.662221137119663350e-01
2.048000000000000000e+04,3.662221137119663350e-01
2.304000000000000000e+04,3.662221137119663350e-01
2.560000000000000000e+04,3.662221137119663350e-01
2.816000000000000000e+04,5.547044282357249667e-01
3.072000000000000000e+04,3.662221137119663350e-01
3.328000000000000000e+04,3.662221137119663350e-01
3.584000000000000000e+04,3.662221137119663350e-01
3.840000000000000000e+04,3.662221137119663350e-01
4.096000000000000000e+04,3.662221137119663350e-01
4.352000000000000000e+04,3.662221137119663350e-01
4.608000000000000000e+04,1.777397991882076478e-01
4.864000000000000000e+04,3.662221137119663350e-01
5.120000000000000000e+04,3.662221137119663350e-01
5.376000000000000000e+04,1.777397991882076478e-01
5.632000000000000000e+04,3.662221137119663350e-01
5.888000000000000000e+04,3.662221137119663350e-01
6.144000000000000000e+04,3.662221137119663350e-01
6.400000000000000000e+04,1.777397991882076478e-01
6.656000000000000000e+04,1.777397991882076478e-01
6.912000000000000000e+04,3.662221137119663350e-01
7.168000000000000000e+04,3.662221137119663350e-01
7.424000000000000000e+04,3.662221137119663350e-01
7.680000000000000000e+04,3.662221137119663350e-01
7.936000000000000000e+04,3.662221137119663350e-01
8.192000000000000000e+04,3.662221137119663350e-01
8.448000000000000000e+04,3.662221137119663350e-01
8.704000000000000000e+04,3.662221137119663350e-01
8.960000000000000000e+04,1.777397991882076478e-01
9.216000000000000000e+04,3.662221137119663350e-01
9.472000000000000000e+04,3.662221137119663350e-01
9.728000000000000000e+04,1.777397991882076478e-01
9.984000000000000000e+04,1.777397991882076478e-01
1.024000000000000000e+05,3.662221137119663350e-01
1.049600000000000000e+05,3.662221137119663350e-01
1.075200000000000000e+05,3.662221137119663350e-01
1.100800000000000000e+05,3.662221137119663350e-01
1.126400000000000000e+05,3.662221137119663350e-01
1.152000000000000000e+05,5.547044282357249667e-01
1.177600000000000000e+05,3.662221137119663350e-01
1.203200000000000000e+05,1.777397991882076478e-01
1.228800000000000000e+05,3.662221137119663350e-01
1.254400000000000000e+05,3.662221137119663350e-01
1.280000000000000000e+05,3.662221137119663350e-01
1.305600000000000000e+05,3.662221137119663350e-01
1.331200000000000000e+05,3.662221137119663350e-01
1.356800000000000000e+05,5.547044282357249667e-01
1.382400000000000000e+05,3.662221137119663350e-01
1.408000000000000000e+05,3.662221137119663350e-01
1.433600000000000000e+05,3.662221137119663350e-01
1.459200000000000000e+05,3.662221137119663350e-01
1.484800000000000000e+05,3.662221137119663350e-01
1.510400000000000000e+05,5.547044282357249667e-01
1.536000000000000000e+05,3.662221137119663350e-01
1.561600000000000000e+05,3.662221137119663350e-01
1.587200000000000000e+05,5.547044282357249667e-01
1.612800000000000000e+05,3.662221137119663350e-01
1.638400000000000000e+05,3.662221137119663350e-01
1.664000000000000000e+05,3.662221137119663350e-01
1.689600000000000000e+05,3.662221137119663350e-01
1.715200000000000000e+05,3.662221137119663350e-01
1.740800000000000000e+05,3.662221137119663350e-01
1.766400000000000000e+05,5.547044282357249667e-01
1.792000000000000000e+05,1.777397991882076478e-01
1.817600000000000000e+05,3.662221137119663350e-01
1.843200000000000000e+05,3.662221137119663350e-01
1.868800000000000000e+05,3.662221137119663350e-01
1.894400000000000000e+05,3.662221137119663350e-01
1.920000000000000000e+05,3.662221137119663350e-01
1.945600000000000000e+05,3.662221137119663350e-01
1.971200000000000000e+05,3.662221137119663350e-01
1.996800000000000000e+05,3.662221137119663350e-01
2.022400000000000000e+05,3.662221137119663350e-01
2.048000000000000000e+05,1.777397991882076478e-01
2.073600000000000000e+05,3.662221137119663350e-01
2.099200000000000000e+05,5.547044282357249667e-01
2.124800000000000000e+05,3.662221137119663350e-01
2.150400000000000000e+05,3.662221137119663350e-01
2.176000000000000000e+05,3.662221137119663350e-01
2.201600000000000000e+05,3.662221137119663350e-01
2.227200000000000000e+05,3.662221137119663350e-01
2.252800000000000000e+05,3.662221137119663350e-01
2.278400000000000000e+05,3.662221137119663350e-01
2.304000000000000000e+05,3.662221137119663350e-01
2.329600000000000000e+05,3.662221137119663350e-01
2.355200000000000000e+05,3.662221137119663350e-01
2.380800000000000000e+05,3.662221137119663350e-01
2.406400000000000000e+05,3.662221137119663350e-01
2.432000000000000000e+05,3.662221137119663350e-01
2.457600000000000000e+05,3.662221137119663350e-01
2.483200000000000000e+05,3.662221137119663350e-01
2.508800000000000000e+05,3.662221137119663350e-01
2.534400000000000000e+05,3.662221137119663350e-01
2.560000000000000000e+05,3.662221137119663350e-01
2.585600000000000000e+05,3.662221137119663350e-01
2.611200000000000000e+05,3.662221137119663350e-01
2.636800000000000000e+05,3.662221137119663350e-01
2.662400000000000000e+05,5.547044282357249667e-01
2.688000000000000000e+05,3.662221137119663350e-01
2.713600000000000000e+05,3.662221137119663350e-01
2.739200000000000000e+05,3.662221137119663350e-01
